Title,Description,Type
Non Profit,"Not for profit organization that works for social good, that is funded by donations, sponsorships or other philanthropic resources.",
Social Enterprise,"A business for a social purpose: using a business strategy to achieve a social, cultural or environmental goal or another kind of community benefit, rather than for the economic benefit of its shareholders or owners.",
Public Agency,Organizations that are owned and operated by the government and exist to provide services for its citizens.,
Donor / Investor,Organizations that provide regional and international development aid or assistance ,
Faith-Based,"An organization whose values are based on faith and/or beliefs, which has a mission based on social values of the particular faith, and which most often draws its activists (leaders, staff, volunteers) from a particular faith group.",
Project,A project that's not necessarily an organisation but could be classified as group working towards a common goal.,
